region,cash_capita,real_incomes,real_pay,formal_wage_paid,child_mortality,disabled,alco,drugs,gross,living_area,poor_living_conditions,general_morbidity,teen_pregnancy,birth,population,poverty_percent,children_per,pensioners_per,working_age_per,reg_mining,reg_electric,reg_water,reg_manuf,reg_indust,retail,welfare,orphans_need,adopted,children_%,retiree,pension,retired_percent,living_wage,crime
Кабардино-Балкарская Республика,20569.666666666668,-0.06444264106177,0.15074302703359987,24720.166666666668,130.3125,604395.6666666666,74.7909090909091,20.990909090909085,84900.384,18.9,0.5,45707.2,196.5333333333333,11785.871874999999,870487,29.2923076923077,35.9,6.7,57.4,323572.94999999995,9138004.9,1335262.55,32968677.869999997,43765518.245,145186.33333333334,22.933333333333334,101.875,152.25,23.82785532,149605.85714285713,11402.769999999999,19.914285714285715,11311.0,2078.0384615384614
Карачаево-Черкесская Республика,18200.166666666668,-0.1384943458439999,0.18351842609000002,24490.833333333332,71.375,541110.8333333334,54.85454545454545,18.527272727272727,84695.48800000001,18.3,1.7,66186.2,187.0,5727.991249999999,464219,31.630769230769225,27.6,6.9,65.5,2770560.175,9519976.8,1281382.0,29686571.650000002,43258490.625,81167.77777777778,20.85,81.75,91.75,22.863087193749998,85425.0,12366.032857142856,21.699999999999996,10277.0,1496.551282051282
Республика Северная Осетия — Алания,23077.5,-0.10132907981296013,0.18866706215642015,25829.333333333332,102.125,662106.8333333334,58.72727272727272,7.845454545454547,102162.86799999999,16.4,2.2,71479.85,50.133333333333326,9633.998124999998,688124,21.973076923076917,34.8,6.8,58.4,674591.775,9059991.525,1569211.8000000003,21136800.55,32440595.65,154792.11111111112,21.416666666666668,122.875,110.625,23.23422336125,164931.7142857143,12860.374285714284,22.842857142857145,9854.0,2086.8205128205127
Чеченская Республика,23330.5,-0.04719493238560002,0.08985425120000023,25364.0,368.9655172413793,1730544.5,16.50909090909091,8.372727272727273,59785.5,19.2,0.4,56307.95,418.76666666666665,32349.106874999994,1516387,9.405555555555555,43.7,6.2,50.1,5169622.175,19031511.15,1735623.35,10858456.4,36795213.075,110248.44444444444,27.316666666666666,0.0,336.125,37.578352295,194732.14285714287,13037.968571428572,10.114285714285714,11240.0,573.0
Ставропольский край,22733.166666666668,-0.09882743140215977,0.16685406195154973,28220.5,368.6875,2222457.8333333335,47.13636363636363,14.990909090909092,120022.11600000001,19.0,0.5,57594.100000000006,607.8333333333334,32139.736249999994,2780204,24.93076923076923,39.2,1.9,58.9,10890881.375,77458091.94999999,11092583.875,290906191.5,390347748.75,176767.33333333334,25.683333333333334,798.5,652.625,20.577898296249998,602059.1428571428,12723.144285714287,24.04285714285714,9777.0,8579.884615384615
Республика Башкортостан,28903.333333333332,-0.09340255591436797,0.23628518176624969,32225.0,562.75,2667438.6666666665,94.66428571428574,8.964285714285714,186549.52400000003,17.4,0.3,84716.1,988.6333333333332,52001.60937499999,4001678,17.692307692307693,40.1,4.5,55.4,267563216.325,132644913.7675,25599343.475,1203815317.3700001,1629622790.9374998,210419.44444444444,18.833333333333332,878.25,1382.625,22.1597987175,974313.7142857143,13488.598571428573,23.571428571428573,9834.0,20304.76923076923
Республика Марий Эл,19778.333333333332,-0.08659010880000007,0.18902387320589642,26877.5,87.0,661144.5,117.99285714285715,6.071428571428572,119959.90800000001,16.5,1.0,92493.8,1042.8999999999999,8509.748125,671455,35.10769230769231,32.8,5.8,61.5,736715.275,11831215.7775,5623352.95,153565910.3975,171757194.4,122354.44444444444,20.716666666666665,233.125,171.5,21.194819742500002,172500.57142857142,12635.154285714283,25.014285714285716,9846.0,2634.0128205128203
Республика Мордовия,18784.166666666668,-0.024522906345201823,0.2089237427747479,26038.0,76.71875,730052.6666666666,123.94285714285714,7.0214285714285705,129067.204,20.0,0.0,67150.4,550.6666666666666,7377.246875000001,770673,29.63076923076923,26.8,12.1,61.2,94286.04999999999,12515915.0,4474408.025,200033500.375,217118109.425,109921.33333333333,18.366666666666664,192.0,94.875,16.855836415000002,211531.0,12672.291428571427,27.37142857142857,9378.0,3350.1666666666665
Республика Татарстан (Татарстан),33778.333333333336,-0.06964776889861579,0.14398659353888,34007.666666666664,447.3125,2997838.1666666665,73.03571428571428,11.671428571428573,275448.456,16.2,0.6,79905.29999999999,724.4333333333334,48107.235624999994,3886395,13.38846153846154,42.0,7.3,50.7,625296919.375,139786086.1025,37070421.074999996,1853920125.825,2656073552.4775,223452.11111111112,12.049999999999999,529.25,951.125,20.937255096250002,959911.5714285715,13608.74857142857,24.357142857142854,9600.0,14927.346153846154
Удмуртская Республика,24368.833333333332,-0.11590482387462975,0.2574663900820999,30437.0,204.1875,1101490.3333333333,104.27857142857142,9.764285714285714,185753.64,14.8,0.6,97955.0,2360.1,19424.999375,1484460,20.92307692307692,49.9,2.7,47.5,221480490.5,40183564.65,10125888.625,360656412.34000003,632446356.115,147003.33333333334,19.2,766.25,482.75,22.23239272125,380778.0,13741.274285714286,24.371428571428567,10314.0,10041.294871794871
